Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.18692E-3,56.622157634,0.845774318,0.016056338,0.466666667,0
4.26252E-3,57.048409234,0.850892774,0.016056338,0.488888889,0
4.27383E-3,57.902044324,0.851644397,0.015492958,0.488888889,0
4.42871E-3,58.34491517,0.861556047,0.015211268,0.511111111,0
4.5622E-3,60.129747801,0.869566298,0.014084507,0.533333333,0
4.65439E-3,60.595186608,0.874825823,0.013802817,0.533333333,0
4.75576E-3,61.070762437,0.880364774,0.013521127,0.533333333,0
4.77188E-3,61.547950191,0.881222672,0.013239437,0.555555556,0
4.83191E-3,62.03114134,0.884364023,0.012957746,0.555555556,0
4.94496E-3,63.008828422,0.890055625,0.012394366,0.555555556,0
5.24529E-3,64.522349202,0.903852256,0.011549296,0.555555556,0
5.342E-3,65.056549495,0.907915547,0.011267606,0.555555556,0
5.62403E-3,66.153152324,0.918810065,0.010704225,0.577777778,0
5.63354E-3,66.716505898,0.919154075,0.010422535,0.6,0
5.63354E-3,68.969920193,0.919154075,0.009014085,0.6,0
5.91331E-3,69.561251522,0.928647482,0.009014085,0.622222222,0
6.00557E-3,70.161808704,0.931526838,0.008732394,0.644444444,0
6.06571E-3,71.969494087,0.933340882,0.007887324,0.644444444,0
6.36576E-3,72.606069659,0.94169836,0.007605634,0.666666667,0
6.45762E-3,73.888407682,0.944041324,0.007042254,0.666666667,0
6.51241E-3,74.539648586,0.945393453,0.006760563,0.688888889,0
6.67877E-3,75.207525471,0.94930238,0.006478873,0.711111111,0
7.14072E-3,77.925227793,0.958750761,0.005352113,0.733333333,0
7.20796E-3,78.646023727,0.959970737,0.005070423,0.733333333,0
7.22013E-3,80.088832279,0.960187592,0.004507042,0.733333333,0
7.24273E-3,80.813105372,0.960587372,0.004225352,0.755555556,0
7.93162E-3,81.606267729,0.971022615,0.003943662,0.755555556,0
8.50677E-3,82.456944447,0.977584991,0.003661972,0.755555556,0
9.49151E-3,83.406095486,0.985558998,0.003380282,0.755555556,0
9.66097E-3,84.372192932,0.986611304,0.003098592,0.755555556,0
1.18101E-2,85.553207012,0.994871207,0.002816901,0.777777778,0
1.26644E-2,86.8196501,0.996497578,0.002535211,0.8,0
1.33459E-2,88.154243382,0.9974164,0.002253521,0.822222222,0
1.38052E-2,89.534766772,0.997895413,0.001971831,0.844444444,0
1.38851E-2,90.923274487,0.997969115,0.001690141,0.866666667,0
1.49693E-2,92.420208569,0.998748454,0.001408451,0.888888889,0
1.53809E-2,93.958297934,0.99895853,0.001126761,0.911111111,0
1.57158E-2,95.529877802,0.999103173,0.00084507,0.933333333,0
1.75311E-2,97.282988988,0.999601233,0.00056338,0.955555556,0
2.71701E-2,100,0.999994608,0.00028169,0.977777778,0
